,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8666,,,,,,,,,
After_Task_2,0.8687,0.8812,,,,,,,,
After_Task_3,0.8401,0.8836,0.8903,,,,,,,
After_Task_4,0.793,0.8679,0.8931,0.8759,,,,,,
After_Task_5,0.735,0.8255,0.8774,0.894,0.879,,,,,
After_Task_6,0.6724,0.7703,0.8421,0.8789,0.8927,0.8813,,,,
After_Task_7,0.6295,0.7278,0.8009,0.8482,0.8779,0.8967,0.8856,,,
After_Task_8,0.6004,0.696,0.767,0.8189,0.8531,0.8847,0.9016,0.8856,,
After_Task_9,0.5854,0.6734,0.7407,0.7931,0.8263,0.8638,0.8926,0.9031,0.8918,
After_Task_10,0.5806,0.6627,0.7255,0.7734,0.7962,0.8317,0.8632,0.8907,0.909,0.8971
