,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8662,,,,,,,,,
After_Task_2,0.8763,0.8906,,,,,,,,
After_Task_3,0.8514,0.8958,0.8972,,,,,,,
After_Task_4,0.7999,0.875,0.9023,0.8916,,,,,,
After_Task_5,0.7407,0.8314,0.8827,0.9038,0.8939,,,,,
After_Task_6,0.653,0.76,0.8396,0.8839,0.9013,0.8943,,,,
After_Task_7,0.5782,0.6827,0.775,0.8394,0.8812,0.9052,0.8963,,,
After_Task_8,0.5226,0.6087,0.7058,0.7808,0.8398,0.8855,0.9058,0.8986,,
After_Task_9,0.4723,0.5394,0.6267,0.6991,0.7756,0.8367,0.8833,0.9063,0.9028,
After_Task_10,0.4366,0.5122,0.5731,0.6371,0.6975,0.7733,0.8371,0.8853,0.9104,0.9035
