,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8666,,,,,,,,,
After_Task_2,0.875,0.8768,,,,,,,,
After_Task_3,0.8529,0.8876,0.8749,,,,,,,
After_Task_4,0.7941,0.8657,0.8887,0.8691,,,,,,
After_Task_5,0.7172,0.8151,0.8733,0.8874,0.8669,,,,,
After_Task_6,0.6143,0.7321,0.8204,0.8703,0.8839,0.8657,,,,
After_Task_7,0.5005,0.6211,0.7347,0.8173,0.8644,0.8845,0.8693,,,
After_Task_8,0.4123,0.5129,0.642,0.747,0.8174,0.869,0.8858,0.8683,,
After_Task_9,0.3285,0.4097,0.5347,0.6457,0.749,0.8288,0.874,0.8887,0.8673,
After_Task_10,0.2785,0.3297,0.4293,0.5225,0.6401,0.7482,0.8273,0.872,0.8878,0.8689
