method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
ER,0,1.379,2.47,0.0,0.5997,replay_buffer (200 samples)
ER,1,2.406,2.31,0.0,1.1993,replay_buffer (400 samples)
ER,2,2.443,2.31,0.0,1.799,replay_buffer (600 samples)
ER,3,2.437,2.31,0.0,2.3987,replay_buffer (800 samples)
ER,4,2.422,2.31,0.0,2.9984,replay_buffer (1000 samples)
ER,5,2.34,2.31,0.0,3.598,replay_buffer (1200 samples)
ER,6,2.325,2.31,0.0,4.1977,replay_buffer (1400 samples)
ER,7,2.339,2.31,0.0,4.7974,replay_buffer (1600 samples)
ER,8,2.332,2.31,0.0,5.397,replay_buffer (1800 samples)
ER,9,2.298,2.31,0.0,5.9967,replay_buffer (2000 samples)
