,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8662,,,,,,,,,
After_Task_2,0.8726,0.8885,,,,,,,,
After_Task_3,0.8281,0.8897,0.8956,,,,,,,
After_Task_4,0.7438,0.8462,0.8946,0.8934,,,,,,
After_Task_5,0.6399,0.7722,0.8604,0.8954,0.8932,,,,,
After_Task_6,0.5171,0.6567,0.7819,0.8596,0.8952,0.8957,,,,
After_Task_7,0.4029,0.5222,0.6655,0.7835,0.8607,0.8996,0.897,,,
After_Task_8,0.3243,0.4095,0.549,0.6827,0.7957,0.8689,0.902,0.9001,,
After_Task_9,0.2528,0.3062,0.4253,0.5452,0.6826,0.7969,0.8716,0.9034,0.904,
After_Task_10,0.2213,0.2562,0.3389,0.4328,0.5502,0.6938,0.803,0.8722,0.9068,0.9068
