,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8666,,,,,,,,,
After_Task_2,0.8795,0.8916,,,,,,,,
After_Task_3,0.8509,0.8992,0.8977,,,,,,,
After_Task_4,0.7981,0.8745,0.9001,0.8916,,,,,,
After_Task_5,0.7269,0.8257,0.8776,0.9005,0.8948,,,,,
After_Task_6,0.6339,0.7498,0.8283,0.8799,0.9,0.8957,,,,
After_Task_7,0.5592,0.6684,0.7655,0.8384,0.8795,0.9023,0.895,,,
After_Task_8,0.4945,0.5839,0.6892,0.7776,0.8359,0.8841,0.9063,0.8974,,
After_Task_9,0.4488,0.522,0.6153,0.7004,0.775,0.8368,0.8864,0.907,0.9007,
After_Task_10,0.4202,0.4909,0.5614,0.6276,0.6937,0.7729,0.8384,0.8854,0.9098,0.9014
