,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8667,,,,,,,,,
After_Task_2,0.8751,0.8795,,,,,,,,
After_Task_3,0.8507,0.8887,0.8758,,,,,,,
After_Task_4,0.7913,0.8674,0.8902,0.8726,,,,,,
After_Task_5,0.715,0.8154,0.8713,0.8856,0.869,,,,,
After_Task_6,0.608,0.7233,0.8153,0.8689,0.885,0.8722,,,,
After_Task_7,0.505,0.6223,0.7401,0.8174,0.8666,0.8858,0.868,,,
After_Task_8,0.417,0.5107,0.6409,0.7459,0.8219,0.8741,0.8892,0.8672,,
After_Task_9,0.3264,0.4077,0.5266,0.6349,0.7439,0.8244,0.8727,0.8883,0.8699,
After_Task_10,0.2774,0.3286,0.4222,0.5063,0.6309,0.7378,0.8194,0.8716,0.889,0.874
