,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8662,,,,,,,,,
After_Task_2,0.8766,0.8862,,,,,,,,
After_Task_3,0.8395,0.8877,0.8886,,,,,,,
After_Task_4,0.7937,0.8661,0.8983,0.8898,,,,,,
After_Task_5,0.7513,0.8317,0.8818,0.9018,0.8908,,,,,
After_Task_6,0.6902,0.7867,0.8519,0.8893,0.9044,0.8885,,,,
After_Task_7,0.6589,0.7473,0.8156,0.8602,0.8909,0.9091,0.892,,,
After_Task_8,0.6315,0.7104,0.7831,0.8295,0.8643,0.8967,0.9048,0.8884,,
After_Task_9,0.6044,0.6884,0.7558,0.7998,0.8322,0.8694,0.8939,0.9035,0.886,
After_Task_10,0.5999,0.6848,0.7441,0.7781,0.8084,0.8431,0.8683,0.8927,0.9062,0.8878
