,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10
After_Task_1,0.8666,,,,,,,,,
After_Task_2,0.8797,0.8909,,,,,,,,
After_Task_3,0.8487,0.8967,0.8945,,,,,,,
After_Task_4,0.7987,0.8731,0.8993,0.8904,,,,,,
After_Task_5,0.7305,0.8318,0.8808,0.8999,0.8942,,,,,
After_Task_6,0.6445,0.7604,0.8338,0.8793,0.899,0.894,,,,
After_Task_7,0.5594,0.6685,0.7665,0.8361,0.8804,0.9026,0.8974,,,
After_Task_8,0.4986,0.5968,0.693,0.7784,0.8361,0.8828,0.9036,0.8977,,
After_Task_9,0.4366,0.5136,0.6066,0.6888,0.7691,0.8374,0.8834,0.9072,0.8991,
After_Task_10,0.4164,0.4909,0.5601,0.6234,0.6893,0.7707,0.8338,0.885,0.9081,0.9022
