method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
A-GEM,0,24.937,0.48,0.0,11.7264,episodic_memory (1000 samples)
A-GEM,1,123.753,0.31,0.0,23.4528,episodic_memory (2000 samples)
A-GEM,2,123.676,0.31,0.0,35.1791,episodic_memory (3000 samples)
A-GEM,3,123.639,0.32,0.0,46.9055,episodic_memory (4000 samples)
A-GEM,4,123.711,0.31,0.0,58.6319,episodic_memory (5000 samples)
A-GEM,5,123.683,0.31,0.0,70.3583,episodic_memory (6000 samples)
A-GEM,6,123.751,0.31,0.0,82.0847,episodic_memory (7000 samples)
A-GEM,7,123.815,0.31,0.0,93.811,episodic_memory (8000 samples)
A-GEM,8,123.789,0.31,0.0,105.5374,episodic_memory (9000 samples)
A-GEM,9,123.839,0.31,0.0,117.2638,episodic_memory (10000 samples)
