,T0,T1,T2,T3,T4
T0,0.4535198960387166,0.4957541674135149,0.5118524825237498,0.5491351496683994,0.5715405986735974
T1,0.4535198960387166,0.4535535042122244,0.4590540419430005,0.4910378203979207,0.5137905538626995
T2,0.4535198960387166,0.4746538358128697,0.5166136404373544,0.552215898906614,0.5748341996773615
T3,0.4535198960387166,0.4746538358128697,0.49584005496803485,0.549034325147876,0.5710028678974727
T4,0.4535198960387166,0.4746538358128697,0.49584005496803485,0.5353557985302025,0.5513644918444166
