method,task_id,train_time_s,peak_ram_mb,peak_gpu_mb,extra_storage_mb,extra_storage_label
AGEM,0,14.932,20.53,0.0,2.9984,episodic_memory (1000 samples)
AGEM,1,35.964,20.49,0.0,5.9967,episodic_memory (2000 samples)
AGEM,2,35.685,20.49,0.0,8.9951,episodic_memory (3000 samples)
AGEM,3,35.519,20.49,0.0,11.9934,episodic_memory (4000 samples)
AGEM,4,35.636,20.49,0.0,14.9918,episodic_memory (5000 samples)
