,T0,T1,T2,T3,T4
T0,0.8339868255959849,0.8539164724861086,0.8757729879906794,0.8892834737408137,0.8933164545617495
T1,0.8339868255959849,0.8200618390392543,0.7827567664455995,0.7801801398100018,0.839599390571787
T2,0.8339868255959849,0.8369891557626814,0.8800636314751747,0.8814639720379996,0.8885104857501345
T3,0.8339868255959849,0.8369891557626814,0.8461977953038179,0.889193851944793,0.892879548306148
T4,0.8339868255959849,0.8369891557626814,0.8461977953038179,0.860030359383402,0.8761426778992651
