,T0,T1,T2,T3,T4,T5,T6,T7
T0,0.7773279352226721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,0.7773279352226721,0.86084142394822,0.0,0.0,0.0,0.0,0.0,0.0
T2,0.7773279352226721,0.43042071197411,0.3252032520325203,0.0,0.0,0.0,0.0,0.1056910569105691
T3,0.7773279352226721,0.43042071197411,0.1084010840108401,0.6857142857142857,0.0,0.0,0.0857142857142857,0.0666666666666666
T4,0.7773279352226721,0.43042071197411,0.1084010840108401,0.17142857142857143,0.2641509433962264,0.0,0.0,0.0
T5,0.7773279352226721,0.43042071197411,0.1084010840108401,0.17142857142857143,0.052830188679245285,0.4791666666666667,0.4479166666666667,0.03125
T6,0.7773279352226721,0.43042071197411,0.1084010840108401,0.17142857142857143,0.052830188679245285,0.07986111111111112,0.0,0.0
T7,0.7773279352226721,0.43042071197411,0.1084010840108401,0.17142857142857143,0.052830188679245285,0.07986111111111112,0.07623299319727891,0.0
